,price,bedrooms,bathrooms,landsize,yearbuilt,date_sold,latitude,longitude
0,565000.0,4.0,2.0,600.0,2003.0,09-2018,-32.1159,115.84245
1,365000.0,3.0,2.0,351.0,2013.0,02-2019,-32.19347028,115.8595535
2,287000.0,3.0,1.0,719.0,1979.0,06-2015,-32.12057813,115.993579
3,255000.0,2.0,1.0,651.0,1953.0,07-2018,-31.90054675,116.0380088
4,325000.0,4.0,1.0,466.0,1998.0,11-2016,-31.88579,115.94778
5,409000.0,4.0,2.0,759.0,1991.0,03-2013,-32.1538014,116.0236578
6,400000.0,3.0,2.0,386.0,2014.0,05-2016,-32.17997786,115.9886473
7,370000.0,4.0,2.0,468.0,2013.0,03-2019,-32.31766224,115.7619682
8,565000.0,4.0,2.0,875.0,1983.0,06-2020,-31.84775987,115.8227005
9,685000.0,3.0,2.0,552.0,1999.0,10-2019,-31.91788,115.90705
10,675000.0,4.0,2.0,2538.0,1977.0,07-2014,-32.01574,116.08891
11,367500.0,3.0,2.0,398.0,2003.0,11-2018,-31.65428,115.7022
12,300000.0,3.0,2.0,243.0,2008.0,12-2019,-31.84964681,115.846314
13,535000.0,4.0,2.0,704.0,2002.0,07-2019,-32.15959,115.84948
14,540000.0,4.0,2.0,614.0,2004.0,05-2018,-32.00294817,115.9836459
15,685000.0,3.0,2.0,706.0,1985.0,11-2017,-32.06458,115.86046
16,350000.0,4.0,2.0,663.0,1994.0,11-2017,-31.66068818,116.0407159
17,570000.0,4.0,2.0,568.0,2003.0,10-2020,-31.95242,116.0207
18,318000.0,2.0,1.0,751.0,1959.0,05-2013,-31.90409,116.04213
19,379000.0,3.0,2.0,785.0,1977.0,08-2017,-32.13247,116.0242
20,387500.0,4.0,1.0,782.0,1981.0,04-2017,-32.14885,115.94308
21,465000.0,4.0,2.0,450.0,2000.0,08-2017,-32.13768,115.86697
22,325000.0,3.0,1.0,421.0,1972.0,08-2014,-31.88355668,115.9542319
23,515000.0,3.0,2.0,388.0,2007.0,09-2014,-31.7328966,115.7996371
24,610000.0,3.0,1.0,550.0,1920.0,04-2013,-31.88948,115.99427
25,1950000.0,5.0,2.0,855.0,1981.0,10-2018,-32.02366,115.78189
26,420000.0,4.0,2.0,600.0,2006.0,01-2015,-32.434584,115.758448
27,347500.0,3.0,1.0,452.0,,08-2018,-31.90698,115.98698
28,492000.0,4.0,2.0,459.0,2012.0,11-2017,-32.00415385,115.9949594
29,201000.0,3.0,1.0,711.0,1985.0,02-2019,-32.164115,116.0083927
30,275000.0,3.0,1.0,570.0,1996.0,04-2018,-32.03406,115.99137
31,410000.0,4.0,2.0,808.0,1983.0,12-2019,-32.08948,115.78811
32,315000.0,4.0,2.0,550.0,1999.0,12-2020,-32.36259,115.7517
33,795000.0,4.0,3.0,2095.0,,10-2017,-32.11535746,116.0748618
34,600000.0,4.0,2.0,2028.0,1988.0,08-2015,-31.91039,116.10841
35,400000.0,4.0,2.0,672.0,2002.0,09-2019,-32.39686,115.75637
36,350000.0,3.0,1.0,797.0,1974.0,08-2013,-31.82521,116.02121
37,835000.0,4.0,2.0,480.0,1998.0,06-2016,-31.86994,115.79768
38,482000.0,4.0,2.0,469.0,2008.0,11-2020,-32.11598945,115.9173273
39,1260000.0,3.0,3.0,354.0,2000.0,11-2016,-32.02689,115.75382
40,405000.0,3.0,2.0,781.0,1989.0,03-2019,-31.66895,115.70455
41,465000.0,3.0,2.0,620.0,2002.0,07-2019,-31.95549,116.01601
42,560000.0,5.0,2.0,592.0,1996.0,12-2018,-32.11658806,115.7790863
43,380000.0,3.0,1.0,979.0,1978.0,05-2016,-32.0459,115.90519
44,360000.0,3.0,2.0,397.0,2006.0,12-2020,-31.638689,115.700206
45,540000.0,4.0,2.0,641.0,2005.0,03-2018,-31.71607737,115.7997715
46,420000.0,3.0,2.0,680.0,1991.0,06-2020,-32.07705,115.94632
47,330000.0,4.0,2.0,495.0,2011.0,12-2020,-32.36170962,115.8136691
48,705000.0,3.0,1.0,774.0,1952.0,10-2017,-31.98792,115.88137
49,615000.0,4.0,2.0,818.0,1994.0,03-2016,-31.88124,115.93878
50,565000.0,3.0,2.0,775.0,1960.0,05-2020,-32.07693,115.78611
51,850000.0,3.0,1.0,917.0,1959.0,10-2013,-31.92056,115.86557
52,780000.0,4.0,2.0,447.0,2015.0,09-2018,-32.0993486,115.9525676
53,520000.0,3.0,3.0,358.0,2001.0,03-2018,-32.10379,115.82631
54,1100000.0,3.0,1.0,619.0,1945.0,12-2016,-31.97685,115.76985
55,590000.0,5.0,2.0,834.0,2004.0,03-2020,-31.75123,116.00693
56,312000.0,4.0,2.0,561.0,1993.0,08-2018,-31.86829,116.03838
57,900000.0,3.0,2.0,372.0,2008.0,08-2016,-31.86096794,115.7663678
58,177000.0,3.0,1.0,412.0,2015.0,08-2013,-32.15937438,115.9880817
59,580000.0,4.0,2.0,541.0,2004.0,07-2017,-31.81185,115.8241
60,1310000.0,4.0,2.0,544.0,2010.0,07-2019,-31.91782603,115.7766387
61,470000.0,3.0,2.0,295.0,1950.0,02-2018,-32.00510024,115.9157517
62,717000.0,3.0,2.0,578.0,1995.0,02-2018,-32.00891,115.87138
63,650000.0,4.0,2.0,715.0,,08-2014,-31.83908,115.79647
64,387000.0,4.0,1.0,380.0,1998.0,09-2018,-32.00205721,115.941062
65,330000.0,3.0,2.0,233.0,2014.0,07-2015,-32.23409592,115.8058854
66,605000.0,2.0,1.0,2578.0,1977.0,08-2020,-31.98705,116.04769
67,380000.0,3.0,2.0,350.0,2016.0,06-2016,-31.65843642,116.0411802
68,85000.0,2.0,1.0,828.0,1965.0,10-1998,-31.90963,116.04061
69,345000.0,3.0,2.0,603.0,1992.0,06-2017,-31.66719,115.71465
70,528000.0,4.0,2.0,619.0,2008.0,03-2018,-32.16854691,115.86785
71,1350000.0,4.0,1.0,802.0,2012.0,03-2018,-31.87098262,115.7759589
72,735000.0,4.0,2.0,1940.0,1982.0,07-2015,-31.95124,116.05696
73,442500.0,4.0,2.0,529.0,2005.0,11-2019,-31.81372,115.85078
74,1015000.0,3.0,2.0,500.0,2003.0,08-2018,-31.81745,115.74223
75,530000.0,3.0,2.0,771.0,1985.0,05-2016,-31.83138,115.87381
76,515000.0,3.0,1.0,688.0,1958.0,06-2019,-31.99883,115.90544
77,1100000.0,4.0,2.0,1012.0,2005.0,11-2018,-31.90763,115.9573
78,1265000.0,4.0,3.0,590.0,2005.0,02-2018,-32.02499618,115.8306028
79,750000.0,4.0,3.0,4225.0,2003.0,08-2019,-32.14722691,116.0560529
80,472500.0,4.0,2.0,446.0,2008.0,07-2018,-32.15555254,115.8466171
81,392500.0,4.0,2.0,532.0,,01-2019,-31.84873764,115.9045034
82,900000.0,4.0,2.0,454.0,,12-2008,-31.8934,115.998
83,380000.0,5.0,2.0,642.0,1994.0,04-2015,-32.26303,115.80407
84,590000.0,3.0,2.0,449.0,2001.0,04-2019,-32.01232,115.87353
85,835000.0,4.0,2.0,727.0,1985.0,11-2018,-32.05318,115.85013
86,495000.0,4.0,2.0,432.0,2015.0,02-2016,-31.59475775,115.6689691
87,390000.0,4.0,2.0,543.0,1994.0,06-2012,-31.88496,115.94411
88,280000.0,3.0,1.0,806.0,1970.0,03-2017,-32.23786,115.82736
89,355000.0,3.0,1.0,953.0,1974.0,02-2017,-32.02907099,115.9661741
90,465000.0,4.0,2.0,697.0,1987.0,01-2016,-31.77422523,115.7911066
91,372000.0,3.0,2.0,402.0,,01-2020,-32.10493,115.83043
92,685000.0,4.0,2.0,1012.0,1994.0,04-2015,-31.91358,116.02843
93,360000.0,3.0,2.0,218.0,2006.0,03-2016,-32.01255367,115.9493774
94,320000.0,4.0,2.0,550.0,2006.0,06-2020,-32.43563932,115.7585468
95,492000.0,3.0,2.0,289.0,2008.0,04-2016,-31.81702,115.84811
96,974000.0,5.0,2.0,766.0,1990.0,02-2013,-31.84584,115.75809
97,435000.0,4.0,2.0,1062.0,1988.0,09-2017,-32.0541,116.0043
98,900000.0,3.0,2.0,367.0,1995.0,06-2017,-31.9669,115.78778
99,405000.0,3.0,1.0,698.0,1975.0,08-2018,-31.8335,115.81362
